Global Stock Index Fund

Date,NAV
"""08/05/2015""","""19.6085"""
"""07/05/2015""","""19.2538"""
"""06/05/2015""","""19.1296"""
"""05/05/2015""","""19.4161"""
"""04/05/2015""","""19.6502"""
"""01/05/2015""","""19.5028"""
"""30/04/2015""","""19.4340"""
"""29/04/2015""","""19.7182"""
"""28/04/2015""","""20.1022"""
"""27/04/2015""","""20.2613"""
"""24/04/2015""","""20.2750"""
"""23/04/2015""","""20.3074"""
"""22/04/2015""","""20.3862"""
"""21/04/2015""","""20.2977"""
"""20/04/2015""","""20.2394"""
"""17/04/2015""","""20.0839"""
"""16/04/2015""","""20.4246"""
"""15/04/2015""","""20.5649"""
"""14/04/2015""","""20.3535"""
"""13/04/2015""","""20.4983"""
"""10/04/2015""","""20.4790"""
"""09/04/2015""","""20.2922"""
"""08/04/2015""","""20.0164"""
"""07/04/2015""","""19.8612"""
"""06/04/2015""","""19.5512"""
"""02/04/2015""","""19.6525"""
"""01/04/2015""","""19.7495"""
"""31/03/2015""","""19.8121"""
"""30/03/2015""","""19.8332"""
"""27/03/2015""","""19.5828"""
"""26/03/2015""","""19.5194"""
"""25/03/2015""","""19.5237"""
"""24/03/2015""","""19.8464"""
"""23/03/2015""","""19.8717"""
"""20/03/2015""","""20.0749"""
"""19/03/2015""","""20.1283"""
"""18/03/2015""","""20.1201"""
"""17/03/2015""","""19.9922"""
"""16/03/2015""","""20.0810"""
"""13/03/2015""","""19.9535"""
"""12/03/2015""","""19.8768"""
"""11/03/2015""","""19.7437"""
"""10/03/2015""","""19.5177"""
"""09/03/2015""","""19.5976"""
"""06/03/2015""","""19.5710"""
"""05/03/2015""","""19.5126"""
"""04/03/2015""","""19.4083"""
"""03/03/2015""","""19.2880"""
"""02/03/2015""","""19.3545"""
"""27/02/2015""","""19.2768"""
"""26/02/2015""","""19.2941"""
"""25/02/2015""","""19.0785"""
"""24/02/2015""","""19.0896"""
"""23/02/2015""","""19.0099"""
"""20/02/2015""","""18.9620"""
"""19/02/2015""","""18.8466"""
"""18/02/2015""","""18.8720"""
"""17/02/2015""","""18.7639"""
"""16/02/2015""","""18.7322"""
"""13/02/2015""","""18.7275"""
"""12/02/2015""","""18.6586"""
"""11/02/2015""","""18.5547"""
"""10/02/2015""","""18.5654"""
"""09/02/2015""","""18.4216"""
"""06/02/2015""","""18.4749"""
