Euro Investment Grade Bond Index Fund

Date,NAV
"""19/11/2014""","""191.3237"""
"""18/11/2014""","""191.6572"""
"""17/11/2014""","""191.7105"""
"""14/11/2014""","""191.7923"""
"""13/11/2014""","""191.7934"""
"""12/11/2014""","""191.7461"""
"""11/11/2014""","""191.5834"""
"""10/11/2014""","""191.5547"""
"""07/11/2014""","""191.4677"""
"""06/11/2014""","""191.3814"""
"""05/11/2014""","""191.3644"""
"""04/11/2014""","""191.4323"""
"""03/11/2014""","""191.0746"""
"""31/10/2014""","""191.0978"""
"""30/10/2014""","""190.9833"""
"""29/10/2014""","""190.7266"""
"""28/10/2014""","""190.7648"""
"""27/10/2014""","""190.7482"""
"""24/10/2014""","""190.5713"""
"""23/10/2014""","""190.4963"""
"""22/10/2014""","""190.6328"""
"""21/10/2014""","""190.5694"""
"""20/10/2014""","""190.6238"""
"""17/10/2014""","""190.4701"""
"""16/10/2014""","""190.5343"""
"""15/10/2014""","""191.2717"""
"""14/10/2014""","""190.8940"""
"""13/10/2014""","""190.5931"""
"""10/10/2014""","""190.6351"""
"""09/10/2014""","""190.6331"""
"""08/10/2014""","""190.5967"""
"""07/10/2014""","""190.5475"""
"""06/10/2014""","""190.5694"""
"""03/10/2014""","""190.3070"""
"""02/10/2014""","""190.4438"""
"""01/10/2014""","""190.5129"""
"""30/09/2014""","""190.2399"""
"""29/09/2014""","""190.1170"""
"""26/09/2014""","""190.1364"""
"""25/09/2014""","""190.1396"""
"""24/09/2014""","""189.9698"""
"""23/09/2014""","""189.9219"""
"""22/09/2014""","""189.9288"""
"""19/09/2014""","""189.7597"""
"""18/09/2014""","""189.3974"""
"""17/09/2014""","""189.6999"""
"""16/09/2014""","""189.6212"""
"""15/09/2014""","""189.7090"""
"""12/09/2014""","""189.5280"""
"""11/09/2014""","""189.8113"""
"""10/09/2014""","""189.7196"""
"""09/09/2014""","""189.7949"""
"""08/09/2014""","""190.1273"""
"""05/09/2014""","""190.0409"""
"""04/09/2014""","""189.7931"""
"""03/09/2014""","""189.5847"""
"""02/09/2014""","""189.6968"""
"""01/09/2014""","""189.9026"""
"""29/08/2014""","""189.7788"""
"""28/08/2014""","""189.7544"""
"""27/08/2014""","""189.6674"""
"""26/08/2014""","""189.3902"""
"""25/08/2014""","""189.3117"""
"""22/08/2014""","""188.9238"""
"""21/08/2014""","""188.8803"""
"""20/08/2014""","""188.8878"""
"""19/08/2014""","""188.7191"""
"""18/08/2014""","""188.5102"""
"""15/08/2014""","""188.6590"""
"""14/08/2014""","""188.3787"""
"""13/08/2014""","""188.2305"""
"""12/08/2014""","""188.0119"""
"""11/08/2014""","""187.9265"""
"""08/08/2014""","""187.8774"""
"""07/08/2014""","""187.9105"""
"""06/08/2014""","""187.7621"""
"""05/08/2014""","""187.4472"""
"""04/08/2014""","""187.6507"""
"""01/08/2014""","""187.5544"""
"""31/07/2014""","""187.4925"""
"""30/07/2014""","""187.5439"""
"""29/07/2014""","""187.8033"""
"""28/07/2014""","""187.5882"""
"""25/07/2014""","""187.5304"""
"""24/07/2014""","""187.2734"""
"""23/07/2014""","""187.4309"""
"""22/07/2014""","""187.2398"""
"""21/07/2014""","""187.3957"""
"""18/07/2014""","""187.3019"""
"""17/07/2014""","""187.2787"""
"""16/07/2014""","""187.1273"""
"""15/07/2014""","""186.9893"""
"""14/07/2014""","""186.9969"""
"""11/07/2014""","""186.9946"""
"""10/07/2014""","""186.9494"""
"""09/07/2014""","""186.8629"""
"""08/07/2014""","""186.9437"""
"""07/07/2014""","""186.7380"""
"""04/07/2014""","""186.6493"""
"""03/07/2014""","""186.4432"""
"""02/07/2014""","""186.5028"""
"""01/07/2014""","""186.7036"""
"""30/06/2014""","""186.6343"""
"""27/06/2014""","""186.5374"""
"""26/06/2014""","""186.6820"""
"""25/06/2014""","""186.5700"""
"""24/06/2014""","""186.2661"""
"""23/06/2014""","""186.2861"""
"""20/06/2014""","""186.1097"""
"""19/06/2014""","""186.2828"""
"""18/06/2014""","""185.9330"""
"""17/06/2014""","""185.7638"""
"""16/06/2014""","""186.0725"""
